disciplina_ID codigo_materia  nome_materia
1 0 IMD0012 INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
3 1 IMD0017 PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS I
3 2 IMD0019 RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI
4 3 IMD0024 CÁLCULO DIFERENCIAL E INTEGRAL I
5 4 IMD0027 PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II
6 5 IMD0028 FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I
7 6 IMD0034 VETORES E GEOMETRIA ANALÍTICA
